ts,symbol,direction,amount,price_buy,price_sell,fee_buy,fee_sell,pnl
2025-08-18T04:06:26.406620,BTC/USDT,buy_a_sell_b,0.0008579999999999999,115128.0,115162.53839999999,0,0,0.02963394719999173
2025-08-18T04:06:27.795975,ETH/USDT,buy_a_sell_b,0.023,4307.63,4308.922289,0,0,0.029722646999999595
2025-08-18T04:06:29.735499,BTC/USDT,buy_a_sell_b,0.0008579999999999999,115128.0,115162.53839999999,0,0,0.02963394719999173
2025-08-18T04:06:30.537986,ETH/USDT,buy_a_sell_b,0.023,4306.87,4308.162061,0,0,0.029717403000002376
2025-08-18T04:06:32.572370,BTC/USDT,buy_a_sell_b,0.0008579999999999999,115128.0,115162.53839999999,0,0,0.02963394719999173
2025-08-18T06:23:54.195544,BTC/USDT,buy_a_sell_b,0.0008579999999999999,115234.0,115268.5702,0,0,0.029661231600001656
2025-08-18T06:23:54.927888,ETH/USDT,buy_a_sell_b,0.023,4265.12,4266.399536,0,0,0.029429328000000168
2025-08-18T06:23:56.764786,BTC/USDT,buy_a_sell_b,0.0008579999999999999,115214.0,115248.5642,0,0,0.029656083599994363
2025-08-18T06:23:57.575439,ETH/USDT,buy_a_sell_b,0.023,4264.51,4265.789353,0,0,0.02942511899999772
2025-08-18T06:23:59.387768,BTC/USDT,buy_a_sell_b,0.0008579999999999999,115205.6,115240.16168,0,0,0.029653921439999044
2025-08-18T09:58:04.248427,BTC/USDT,buy_a_sell_b,0.000869,115053.7,115088.21611,0,0,0.029994499589997257
2025-08-18T09:58:05.041652,ETH/USDT,buy_a_sell_b,0.023,4296.82,4298.109046,0,0,0.029648057999997035
2025-08-18T09:58:06.826128,BTC/USDT,buy_a_sell_b,0.000869,115041.1,115075.61233,0,0,0.02999121476999804
2025-08-18T09:58:07.626961,ETH/USDT,buy_a_sell_b,0.023,4295.66,4296.948698,0,0,0.029640054000006785
2025-08-18T09:58:09.466148,BTC/USDT,buy_a_sell_b,0.000869,115022.9,115057.40686999999,0,0,0.02998647002999777
2025-08-18T10:17:25.674661,BTC/USDT,buy_a_sell_b,0.0008579999999999999,115139.5,115174.04185,0,0,0.029636907299994984
2025-08-18T10:17:26.526650,ETH/USDT,buy_a_sell_b,0.023,4292.47,4293.757741,0,0,0.029618043000002217
2025-08-18T10:17:28.317101,BTC/USDT,buy_a_sell_b,0.0008579999999999999,115139.5,115174.04185,0,0,0.029636907299994984
2025-08-18T10:17:29.086092,ETH/USDT,buy_a_sell_b,0.023,4292.51,4293.797753,0,0,0.02961831899999106
2025-08-18T10:17:31.344757,BTC/USDT,buy_a_sell_b,0.0008579999999999999,115127.2,115161.73816,0,0,0.02963374127999693
2025-01-01T00:00:00,BTC/USDT,test,0.001,100.0,100.2,0,0,0.0002
2025-08-18T11:25:16.822152,BTC/USDT,buy_a_sell_b,0.000869,114966.6,115001.08998,0,0,0.029971792619998668
2025-08-18T11:25:17.650494,ETH/USDT,buy_a_sell_b,0.023,4271.33,4272.611398999999,0,0,0.029472176999988733
2025-08-18T11:25:19.588426,BTC/USDT,buy_a_sell_b,0.000869,114966.6,115001.08998,0,0,0.029971792619998668
2025-08-18T11:25:20.405855,ETH/USDT,buy_a_sell_b,0.023,4271.33,4272.611398999999,0,0,0.029472176999988733
2025-08-18T11:25:22.249603,BTC/USDT,buy_a_sell_b,0.000869,114966.6,115001.08998,0,0,0.029971792619998668
2025-01-01T00:00:00,BTC/USDT,test,0.001,100.0,100.2,0,0,0.0002
2025-08-18T11:33:48.044317,BTC/USDT,buy_a_sell_b,0.000869,114946.1,114980.58383,0,0,0.029966448269997736
2025-08-18T11:33:48.953982,ETH/USDT,buy_a_sell_b,0.023,4257.99,4259.267397,0,0,0.029380130999996253
2025-08-18T11:33:50.766762,BTC/USDT,buy_a_sell_b,0.000869,114952.8,114987.28584,0,0,0.02996819495999471
2025-08-18T11:33:51.583721,ETH/USDT,buy_a_sell_b,0.023,4257.62,4258.897285999999,0,0,0.029377577999989624
2025-08-18T11:33:53.441768,BTC/USDT,buy_a_sell_b,0.000869,114952.8,114987.28584,0,0,0.02996819495999471
2025-01-01T00:00:00,BTC/USDT,test,0.001,100.0,100.2,0,0,0.0002
